ObjectID,Artist,Nationality,Gender,Department,DateAcquired
95352,Kai Althoff,German,Male,Drawings,2005
95353,Kai Althoff,German,Male,Drawings,2005
95354,Kai Althoff,German,Male,Drawings,2005
95366,Kai Althoff,German,Male,Drawings,2005
95367,Kai Althoff,German,Male,Drawings,2005
95368,Kai Althoff,German,Male,Drawings,2005
95370,Kai Althoff,German,Male,Drawings,2005
95371,D-L Alvarez,American,Male,Drawings,2005
95372,D-L Alvarez,American,Male,Drawings,2005
95373,William Anastasi,American,Male,Drawings,2005
95374,Hurvin Anderson,British,Male,Drawings,2005
95375,Hurvin Anderson,British,Male,Drawings,2005
95376,Hurvin Anderson,British,Male,Drawings,2005
95377,Hurvin Anderson,British,Male,Drawings,2005
95378,Hurvin Anderson,British,Male,Drawings,2005
95379,Hurvin Anderson,British,Male,Drawings,2005
95380,Hurvin Anderson,British,Male,Drawings,2005
95381,Hurvin Anderson,British,Male,Drawings,2005
95382,Reed Anderson,American,Male,Drawings,2005
95383,Carl Andre,American,Male,Drawings,2005
95384,Carl Andre,American,Male,Drawings,2005
95385,Carl Andre,American,Male,Drawings,2005
95386,Carl Andre,American,Male,Drawings,2005
95387,Carl Andre,American,Male,Drawings,2005
95388,Anon,unknown,Male,Drawings,2005
95389,Anonymouse,unknown,Male,Drawings,2005
95390,Anonymouse,unknown,Male,Drawings,2005
95391,Anonymouse,unknown,Male,Drawings,2005
95392,Giovanni Anselmo,Italian,Male,Drawings,2005
95393,Giovanni Anselmo,Italian,Male,Drawings,2005
95394,Siegfried Anzinger,Austrian,Male,Drawings,2005
95395,Siegfried Anzinger,Austrian,Male,Drawings,2005
95396,Siegfried Anzinger,Austrian,Male,Drawings,2005
95397,Ryoko Aoki,Japanese,Female,Drawings,2005
95398,Ryoko Aoki,Japanese,Female,Drawings,2005
95399,Ryoko Aoki,Japanese,Female,Drawings,2005
95400,Ryoko Aoki,Japanese,Female,Drawings,2005
95401,Ryoko Aoki,Japanese,Female,Drawings,2005
95402,Ryoko Aoki,Japanese,Female,Drawings,2005
95403,Ryoko Aoki,Japanese,Female,Drawings,2005
95404,Ryoko Aoki,Japanese,Female,Drawings,2005
95405,Ryoko Aoki,Japanese,Female,Drawings,2005
